cvemodeloeducativo,cveplanestudio,cvemodulo,grado,cvetrayecto,cvetipomodulo,consecutivoorden,estado,creditos,descripcion,descorta,siglema
2023,ELIN23,AHEN20,6,XXX,CL,7,A,10,Ahorro y preservación de la calidad de la energía,Ahorro y preservación de la calidad de la energía,AHEN
2023,ELIN23,SUOB20,6,XXX,CL,8,A,10,Supervisión de obras eléctricas,Supervisión de obras eléctricas,SUOB
2023,ELIN23,MCCL20,6,ASC,TT,9,A,10,Mantenimiento de circuitos de control lógico,Mantenimiento de circuitos de control lógico,MCCL
2023,ELIN23,MASU20,6,MSE,TT,10,A,10,Montaje y mantenimiento de subestaciones eléctricas,Montaje y mantenimiento de subestaciones eléctricas,MASU
2023,ELIN23,VEBS20,6,OPV,TT,11,A,10,Venta de bienes y servicios,Venta de bienes y servicios,VEBS
2023,ELIN23,OBNN20,6,APN,TT,12,A,10,Obtención de nanomateriales,Obtención de nanomateriales,OBNN
2023,ELIN23,MTPA20,6,MEC,TT,13,A,10,Mantenimiento de sistemas de aire acondicionado tipo paquete,Mantenimiento de sistemas de aire acondicionado tipo paquete,MTPA
2023,ELIN23,CRFO20,6,CRF,TT,14,A,10,Construcción de una red de fibra óptica,Construcción de una red de fibra óptica,CRFO
2023,ELIN23,OMSE20,6,OPEN,TT,15,A,10,Operación y mantenimiento a componentes y sistemas eléctricos,Operación y mantenimiento a componentes y sistemas eléctricos,OMSE
2023,ELIN23,MEEE20,6,IMT,TT,16,A,10,Modernización de equipos de transporte vertical,Modernización de equipos de transporte vertical,MEEE
2023,ELIN23,MMIL20,6,MTP,TT,17,A,10,Manejo de modificadores de iluminación,Manejo de modificadores de iluminación,MMIL
2023,EMEC23,CCVE00,1,XXX,CF,1,A,11.25,Comunicación para la comprensión y valoración del entorno,Comunicación para la comprensión y valoración del entorno,CCVE
2023,EMEC23,INII00,1,XXX,CF,2,A,9,Interacción inicial en inglés,Interacción inicial en inglés,INII
2023,EMEC23,PEMA00,1,XXX,CF,3,A,11.25,Pensamiento matemático I,Pensamiento matemático I,PEMA
2023,EMEC23,ATDI00,1,XXX,CF,4,A,11.25,Aplicación de tecnologías digitales,Aplicación de tecnologías digitales,ATDI
2023,EMEC23,IDME00,1,XXX,CF,5,A,9,Identificación de materia y energía en el entorno,Identificación de materia y energía en el entorno,IDME
2023,EMEC23,IMCH00,1,XXX,CF,6,A,15.75,Identificación de sí mismo en el contexto humanístico ,Identificación de sí mismo en el contexto humanístico ,IMCH
2023,EMEC23,ITSO00,1,XXX,CF,7,A,6.75,Interacción social I,Interacción social I,ITSO
2023,EMEC23,FOSO00,1,XXX,CA,8,A,4.5,Formación socioemocional I,Formación socioemocional I,FOSO
2023,EMEC23,CPAT00,2,XXX,CF,1,A,6.75,Comunicación para la argumentación de textos orales y escritos,Comunicación para la argumentación de textos orales y escritos,CPAT
2023,EMEC23,INAI00,2,XXX,CF,2,A,6.75,Interacción activa en inglés,Interacción activa en inglés,INAI
2023,EMEC23,PMO200,2,XXX,CF,3,A,9,Pensamiento matemático II,Pensamiento matemático II,PMO2
2023,EMEC23,IEDE00,2,XXX,CF,4,A,9,Interacción de la energía y dinámica en los ecosistemas,Interacción de la energía y dinámica en los ecosistemas,IEDE
2023,EMEC23,ECCH00,2,XXX,CF,5,A,4.5,Experiencias de la colectividad en mi construcción humana,Experiencias de la colectividad en mi construcción humana,ECCH
2023,EMEC23,ISII00,2,XXX,CF,6,A,4.5,Interacción social II,Interacción social II,ISII
2023,EMEC23,FSO200,2,XXX,CA,7,A,4.5,Formación socioemocional II,Formación socioemocional II,FSO2
2023,EMEC23,DEPL03,2,XXX,CL,8,A,10,Desarrollo e interpretación de planos y diagramas,Desarrollo e interpretación de planos y diagramas,DEPL
2023,EMEC23,MEVF03,2,XXX,CL,9,A,10,Medición de variables físicas,Medición de variables físicas,MEVF
2023,EMEC23,MECE03,2,XXX,CL,10,A,10,Manejo de circuitos eléctricos,Manejo de circuitos eléctricos,MECE
